COUNTY STATE 1990TP 1990NHP 1990HP 1990HSP 2000TP 2000NHP 2000HP 2000HSP 2010TP 2010NHP 2010HP 2010HSP 2011TP 2011NHP 2011HP 2011HSP
ButteCounty California 182120 168514 13606 7,47 203171 181832 21339 10,50 220000 188884 31116 14,14 220266 187971 32295 14,66
CalaverasCounty California 31998 30284 1714 5,36 40554 37789 2765 6,82 45578 40875 4703 10,32 45052 40187 4865 10,80
ColusaCounty California 16275 10851 5424 33,33 18804 10052 8752 46,54 21419 9615 11804 55,11 21549 9465 12084 56,08
ContraCostaCounty California 803732 712450 91282 11,36 948816 781040 167776 17,68 1049025 793465 255560 24,36 1066096 802124 263972 24,76
DelNorteCounty California 23460 21046 2414 10,29 27507 23678 3829 13,92 28610 23517 5093 17,80 28659 23383 5276 18,41
ElDoradoCounty California 125995 117218 8777 6,97 156299 141733 14566 9,32 181058 159183 21875 12,08 180938 158697 22241 12,29
FresnoCounty California 667490 430856 236634 35,45 799407 447771 351636 43,99 930450 462380 468070 50,31 942904 463309 479595 50,86
GlennCounty California 24798 19840 4958 19,99 26453 18613 7840 29,64 28122 17583 10539 37,48 28128 17338 10790 38,36
HumboldtCounty California 119118 114129 4989 4,19 126518 118308 8210 6,49 134623 121412 13211 9,81 134761 120992 13769 10,22
ImperialCounty California 109303 37368 71935 65,81 142361 39544 102817 72,22 174528 34257 140271 80,37 177057 34386 142671 80,58
InyoCounty California 18281 16745 1536 8,40 17945 15688 2257 12,58 18546 14949 3597 19,40 18478 14766 3712 20,09
KernCounty California 543477 391482 151995 27,97 661645 407609 254036 38,39 839631 426598 413033 49,19 851710 426181 425529 49,96
KingsCounty California 101469 66918 34551 34,05 129461 73000 56461 43,61 152982 75116 77866 50,90 153765 74674 79091 51,44
LakeCounty California 50631 46998 3633 7,18 58309 51670 6639 11,39 64665 53577 11088 17,15 64323 52952 11371 17,68
LassenCounty California 27598 24715 2883 10,45 33828 29147 4681 13,84 34895 28778 6117 17,53 34200 28033 6167 18,03
LosAngelesCounty California 8863164 5511922 3351242 37,81 9519338 5277125 4242213 44,56 9818605 5130716 4687889 47,74 9889056 5128082 4760974 48,14
MaderaCounty California 88090 57690 30400 34,51 123109 68594 54515 44,28 150865 69873 80992 53,69 152925 69595 83330 54,49
MarinCounty California 230096 212166 17930 7,79 247289 219938 27351 11,06 252409 213340 39069 15,48 255031 214927 40104 15,73
MariposaCounty California 14302 13605 697 4,87 17130 15801 1329 7,76 18251 16575 1676 9,18 18191 16390 1801 9,90
MendocinoCounty California 80345 72097 8248 10,27 86265 72052 14213 16,48 87841 68336 19505 22,20 87553 67546 20007 22,85
MercedCounty California 178403 120296 58107 32,57 210554 115088 95466 45,34 255793 115308 140485 54,92 259898 115264 144634 55,65
ModocCounty California 9678 8977 701 7,24 9449 8361 1088 11,51 9686 8344 1342 13,86 9517 8156 1361 14,30
MonoCounty California 9956 8830 1126 11,31 12853 10579 2274 17,69 14202 10440 3762 26,49 14309 10446 3863 27,00
MontereyCounty California 355660 236090 119570 33,62 401762 213793 187969 46,79 415057 185054 230003 55,41 421898 185398 236500 56,06
NapaCounty California 110765 94824 15941 14,39 124279 94863 29416 23,67 136484 92474 44010 32,25 138088 92590 45498 32,95
NevadaCounty California 78510 75241 3269 4,16 92033 86832 5201 5,65 98764 90325 8439 8,54 98612 89880 8732 8,85
